股票代码,股票名称,最终资产,总收益率,胜率,交易次数(对),最大回撤,夏普比率,总手续费,挂单重试(买/卖)
002491,通鼎互联,144262.84,44.26%,31.85%,135,68.20%,0.15,10902.22,买7 | 卖1
301501,恒鑫生活,144226.69,44.23%,22.22%,9,32.20%,1.02,1021.32,买0 | 卖0
002520,日发精机,143989.15,43.99%,37.78%,135,48.91%,0.15,12492.89,买3 | 卖1
301498,乖宝宠物,143787.23,43.79%,34.78%,23,36.26%,0.53,2309.78,买0 | 卖0
300885,海昌新材,143357.69,43.36%,38.78%,49,65.17%,0.3,2380.28,买1 | 卖0
301600,慧翰股份,143099.3,43.10%,33.33%,15,43.67%,0.68,1500.72,买2 | 卖0
301192,泰祥股份,142492.63,42.49%,46.67%,30,44.99%,0.38,1961.37,买0 | 卖0
300148,天舟文化,142315.66,42.32%,35.11%,131,83.08%,0.2,11525.36,买2 | 卖2
002543,万和电气,142306.98,42.31%,33.33%,147,44.89%,0.09,13078.98,买1 | 卖0
002348,高乐股份,142117.16,42.12%,32.64%,144,62.58%,0.16,13646.83,买7 | 卖0
300910,瑞丰新材,141941.57,41.94%,42.00%,50,39.11%,0.29,4412.42,买0 | 卖0
301263,泰恩康,141585.36,41.59%,38.24%,34,50.51%,0.36,2815.63,买0 | 卖0
002499,科林退,141379.12,41.38%,33.01%,103,55.61%,0.17,10658.89,买5 | 卖9
300747,锐科激光,141329.62,41.33%,36.76%,68,49.82%,0.2,4701.38,买13 | 卖1
002616,长青集团,141288.93,41.29%,35.16%,128,63.36%,0.14,12783.04,买0 | 卖0
301159,三维天地,141121.07,41.12%,42.86%,35,45.35%,0.36,2382.98,买1 | 卖0
000898,鞍钢股份,141069.92,41.07%,32.43%,259,79.68%,0.08,24506.19,买0 | 卖0
002287,奇正藏药,140668.14,40.67%,36.60%,153,59.38%,0.11,10260.88,买0 | 卖1
002761,浙江建投,140638.75,40.64%,35.64%,101,79.55%,0.2,9542.24,买14 | 卖3
002381,双箭股份,140247.26,40.25%,36.81%,144,50.64%,0.11,14834.79,买2 | 卖0
300556,丝路视觉,140241.91,40.24%,41.98%,81,58.12%,0.23,5868.03,买22 | 卖0
301479,弘景光电,140220.11,40.22%,60.00%,5,26.75%,1.06,464.89,买0 | 卖0
300762,上海瀚讯,140091.58,40.09%,33.82%,68,54.46%,0.24,3289.35,买16 | 卖0
300517,海波重科,139905.94,39.91%,42.53%,87,54.98%,0.18,5958.09,买16 | 卖1
002978,安宁股份,139790.99,39.79%,36.17%,47,40.95%,0.24,5285.02,买1 | 卖0
300184,力源信息,139722.67,39.72%,32.58%,132,76.88%,0.18,11186.31,买1 | 卖2
300733,西菱动力,139566.74,39.57%,36.99%,73,61.40%,0.21,3615.28,买7 | 卖1
301191,菲菱科思,139427.02,39.43%,37.14%,35,49.05%,0.37,3547.03,买0 | 卖0
001223,欧克科技,139220.35,39.22%,48.15%,27,44.66%,0.4,2281.61,买1 | 卖0
300622,博士眼镜,139205.28,39.21%,37.35%,83,45.23%,0.21,5228.73,买12 | 卖1
002787,华源控股,139146.01,39.15%,32.94%,85,55.34%,0.17,5273.03,买10 | 卖1
300678,中科信息,139105.67,39.11%,26.88%,93,80.10%,0.25,8769.23,买11 | 卖1
001225,和泰机电,139024.6,39.02%,42.86%,28,37.57%,0.44,1495.4,买0 | 卖0
002635,安洁科技,138684.64,38.68%,38.57%,140,63.93%,0.14,19020.3,买0 | 卖0
600048,保利发展,138595.75,38.60%,36.13%,191,72.24%,0.1,20671.27,买1 | 卖0
300651,金陵体育,138558.28,38.56%,30.12%,83,58.72%,0.2,6501.71,买8 | 卖0
301095,广立微,138297.68,38.30%,33.33%,30,54.55%,0.36,1946.33,买0 | 卖0
301606,绿联科技,138285.32,38.29%,28.57%,14,45.39%,0.62,1140.69,买0 | 卖0
002795,永和智控,138188.37,38.19%,42.35%,85,55.01%,0.2,6361.61,买13 | 卖3
301459,丰茂股份,138160.15,38.16%,50.00%,18,24.77%,0.5,1432.84,买0 | 卖0
300161,华中数控,138142.71,38.14%,31.21%,141,71.59%,0.17,11462.33,买2 | 卖3
300525,博思软件,138130.08,38.13%,32.18%,87,62.78%,0.17,7667.9,买22 | 卖0
002737,葵花药业,137872.46,37.87%,33.03%,109,33.24%,0.12,10664.57,买3 | 卖0
600083,ST博信,137790.26,37.79%,39.37%,221,78.45%,0.13,26571.68,买62 | 卖54
300570,太辰光,137684.83,37.68%,32.98%,94,68.18%,0.22,4227.18,买9 | 卖0
002703,浙江世宝,137475.63,37.48%,31.09%,119,75.59%,0.19,7609.31,买3 | 卖3
002816,ST和科,137364.6,37.36%,34.57%,81,56.78%,0.18,4741.36,买21 | 卖4
